-----------------------------------------------------------
Data collection format:
PAGE | pageNo | isEnding | utility | summary
PAGE | 95 | false | -- | witch has you recite spells, you notice her fingers are crossed
EDGE | 95 | 18 | false | --
PAGE | 18 | false | -- | spell works; you run to elevator, but broom gets caught in entry
EDGE | 18 | 21 | true | break a straw off the broom to force it through entrance
PAGE | 21 | true | -8 | step into elevator but it's gone, plummet to your death
EDGE | 18 | 115 | true | try to squeeze broom into elevator without snapping any straws
PAGE | 115 | false | -- | there's no elevator so begin falling; you grab onto a railing
EDGE | 115 | 49 | false | --
PAGE | 49 | false | -- | magic broom brings you to basement; you find cage with werewolf
EDGE | 49 | 129 | false | --
PAGE | 129 | false | -- | monsters arrive; you must pluck werewolf hairs
EDGE | 129 | 127 | false | --
PAGE | 127 | false | -- | enter cage and realize that werewolf is scared of broom
EDGE | 127 | 122 | true | try to command werewolf
PAGE | 122 | false | -- | werewolf seems to obey commands
EDGE | 122 | 8 | false | --
PAGE | 8 | false | -- | pluck hairs; you're suddenly alone; hear Nick in other room
EDGE | 8 | 105 | false | --
PAGE | 105 | false | -- | find others in room as humans (not monsters)
EDGE | 105 | 90 | false | --
PAGE | 90 | true | 9 | realize you freed them from a curse
EDGE | 127 | 101 | true | pretend to be a werewolf
PAGE | 101 | true | -5 | werewolf is fooled, but you're out of time and become a werewolf
EDGE | 107 | 44 | true | choose to leave the witch in the box and steal her broom
PAGE | 44 | true | -6 | witch forces you to fly high up in the air on her broom forever
EDGE | 89 | 99 | true | run towards some tall grass to hide
PAGE | 99 | false | -- | hide successfully, but encounter huge, threatening snake
EDGE | 99 | 110 | false | --
PAGE | 110 | false | -- | rescued by snake charmer
EDGE | 110 | 125 | false | --
PAGE | 125 | true | -3 | must play the flute everyday for three years to be safe from snake
EDGE | 94 | 39 | true | tear a strip of bandage off sleeping mummy
EDGE | 6 | 16 | true | decide to ignore Debbie's offer and continue hunting
PAGE | 16 | false | -- | Debbie throws spiders at you; you run down hall and find 2 doors
EDGE | 16 | 126 | true | go through orange door
PAGE | 126 | false | -- | you fall into a closet; realize you're at home, starting over
EDGE | 126 | 1 | false | --
EDGE | 16 | 43 | true | go through green door
EDGE | 12 | 78 | true | stay away from closet door, head back towards dining room instead
PAGE | 78 | true | -4 | time is up (you're running on monster time), you become a monster
EDGE | 48 | 111 | true | decide to explore upstairs
PAGE | 111 | false | -- | hear the monsters whispering behind you; start sprinting up stairs
EDGE | 111 | 28 | false | --
PAGE | 28 | false | -- | find yourself suddenly paralyzed; Nick mocks you
EDGE | 28 | 51 | true | decide to accept monsters' help
PAGE | 51 | true | -4 | you're trapped in a force field, and doomed to become a monster
EDGE | 28 | 61 | true | refuse monsters' help
PAGE | 61 | false | -- | you're stuck in a force field, but eventually manage to roll out
EDGE | 61 | 11 | false | --
EDGE | 66 | 33 | true | join Blue Team
PAGE | 33 | false | -- | going to play "The Hunt", first have to pass a test at cemetery
EDGE | 33 | 106 | false | --
PAGE | 106 | false | -- | you go to cemetery and find a building labeled "Krupnik Crypt"
EDGE | 106 | 69 | false | --
PAGE | 69 | false | -- | see the engraving: "who turns the stone will grow bat bones"
EDGE | 69 | 32 | true | crawl into the crypt through the hole on top
PAGE | 32 | true | -7 | get stuck in hole; a slimy monster comes and consumes you
EDGE | 69 | 9 | true | try to open stone door
PAGE | 9 | false | -- | find nothing in tomb; leave and realize your friends are gone
EDGE | 9 | 93 | false | --
PAGE | 93 | false | -- | head home, wake up in the middle of the night
EDGE | 93 | 124 | false | --
PAGE | 124 | false | -- | you look in the mirror and discover you've turned into a bat
EDGE | 124 | 102 | false | --
PAGE | 102 | false | -- | you recall the warning on Krupnik Crypt
EDGE | 102 | 27 | true | return to the cemetery
PAGE | 27 | false | -- | start flying, eventually realize you're not sure where you are
EDGE | 27 | 31 | false | --
PAGE | 31 | false | -- | you see a couple walking their dog nearby
EDGE | 31 | 54 | true | ask the couple for help
PAGE | 54 | false | -- | you accidentally fly into woman; escape and just fly back home
EDGE | 54 | 53 | false | --
PAGE | 53 | false | -- | you wake up next morning as your normal self, but crave beetles
EDGE | 53 | 40 | false | --
PAGE | 40 | false | -- | realize you're still a bat that is a human during the daytime
EDGE | 40 | 74 | false | --
PAGE | 74 | false | -- | realize you must return to Krupnik Crypt at night (as a bat)
EDGE | 74 | 92 | false | --
PAGE | 92 | false | -- | you fly around the night sky, develop an appreciation for sonar
EDGE | 92 | 137 | false | --
PAGE | 137 | false | -- | get to crypt, realize you're too small to open it
EDGE | 137 | 36 | true | get help from Martin
PAGE | 36 | false | -- | when you fly into Martin's house, you're captured by his dad
EDGE | 36 | 60 | false | --
PAGE | 60 | true | -5 | you're taken to the zoo, where you will be kept forever
EDGE | 137 | 118 | true | get help from Lara
PAGE | 118 | false | -- | you fly outside Lara's window, call to her
EDGE | 118 | 76 | false | --
PAGE | 76 | false | -- | Lara freaks out so you fly home, get invited to mall by friends
EDGE | 76 | 133 | false | --
PAGE | 133 | false | -- | you meet your friends at the mall
EDGE | 133 | 73 | true | go to the science store
PAGE | 73 | false | -- | at the science store, you see beetles and feel bat instincts
EDGE | 73 | 41 | false | --
PAGE | 41 | true | -2 | eat beetles, get arrested, later concoct a hit ice cream flavor
EDGE | 133 | 108 | true | go see the Dracula movie
PAGE | 108 | false | -- | in the theater, you suddenly turn into a bat and hide on ceiling
EDGE | 108 | 22 | true | tell your friends now
PAGE | 22 | false | -- | tell your friends; they think you're making it up
EDGE | 22 | 45 | false | --
PAGE | 45 | false | -- | agree to meet; walking in cemetery, you hear "HALT!"
EDGE | 45 | 113 | true | obey command to halt
PAGE | 113 | false | -- | find yourself face to face with the ghost of Professor Krupnik
EDGE | 113 | 57 | false | --
PAGE | 57 | false | -- | Krupnik says he'll help you if you get rid of the "pesky" kids
EDGE | 57 | 81 | false | --
PAGE | 81 | false | -- | you go to Bat Wing Hall and must decide how to get kids to leave
EDGE | 81 | 15 | true | try to convince them Bat Wing Hall is haunted
PAGE | 15 | false | -- | tell Krupnik to reveal himself, but kids aren't scared of him
EDGE | 15 | 103 | true | scrap the scare plan and try something different
PAGE | 103 | true | 8 | Krupnik enjoys attention so he joins club and makes you human
EDGE | 15 | 136 | true | keep trying to help ghost scare the kids
PAGE | 136 | true | -4 | ghost gets angry, turns you and all your friends into bats
EDGE | 81 | 130 | true | try to get them to move Horror Club to a new place
PAGE | 130 | false | -- | convince group to meet in the cemetery instead, they agree
EDGE | 130 | 63 | false | --
PAGE | 63 | true | -8 | bony hands reach up from underground and pull you all under
EDGE | 45 | 109 | true | make a run for it
PAGE | 109 | false | -- | you run to the mansion and wait for over an hour for friends
EDGE | 109 | 14 | false | --
PAGE | 14 | false | -- | friends finally arrive; you tell them but they don't believe you
EDGE | 14 | 82 | false | --
PAGE | 82 | false | -- | you transform and they realize you're telling the truth
EDGE | 82 | 46 | false | --
PAGE | 46 | false | -- | they follow you to the crypt; need to do tell them to close door
EDGE | 46 | 112 | true | fly into the crypt
PAGE | 112 | false | -- | Martin closes door, you turn back, but he becomes a bat
EDGE | 112 | 56 | false | --
PAGE | 56 | false | -- | Lara tries to re-open the door, but becomes a frog
EDGE | 56 | 23 | false | --
PAGE | 23 | true | 5 | you and Marcie decide to keep Martin and Lara as pets
EDGE | 46 | 98 | true | perch on the door's ring
PAGE | 98 | false | -- | your friends realize they need to close door but it's too heavy
EDGE | 98 | 25 | false | --
PAGE | 25 | false | -- | you turn the ring on the door, which allows it to close
EDGE | 25 | 30 | false | --
PAGE | 30 | true | 8 | the plan works, and you turn back into a human on the spot
EDGE | 108 | 45 | true | show your friends tonight at Bat Wing Hall
EDGE | 137 | 5 | true | get help from Marcie
PAGE | 5 | false | -- | you fly into Marcie's house but her younger brother grabs you
EDGE | 5 | 42 | false | --
PAGE | 42 | false | -- | you escape and spell "I am a bat", but she starts swatting at you
EDGE | 42 | 62 | true | try to escape the situation
PAGE | 62 | false | -- | you're flying through Marcie's house, trying to get away
EDGE | 62 | 104 | true | fly into the kitchen
PAGE | 104 | true | -9 | Marcie slams you into a freezer and you freeze to death
EDGE | 62 | 10 | true | fly upstairs
PAGE | 10 | false | -- | you escape out an open window; you fly to Lara's house next
EDGE | 10 | 118 | false | --
EDGE | 42 | 123 | true | try to communicate with Marcie
PAGE | 123 | false | -- | you build "help", she realizes you can communicate
EDGE | 123 | 50 | false | --
PAGE | 50 | false | -- | she traps you, hoping to use your spelling skills to get on TV
EDGE | 50 | 132 | false | --
PAGE | 132 | true | -7 | her brother frees you, but knocks over a drawer that flattens you
EDGE | 31 | 70 | true | ignore the couple and try to find your way by yourself
PAGE | 70 | false | -- | you manage to locate the crypt and fly into it; door slams shut
EDGE | 70 | 55 | false | --
PAGE | 55 | false | -- | you see a crack in the floor
EDGE | 55 | 4 | false | --
PAGE | 4 | false | -- | you fly down the crack and are a kid again, falling indefinitely
EDGE | 4 | 135 | false | --
PAGE | 135 | false | -- | you eventually land in a swamp, reach a fork in path
EDGE | 135 | 87 | true | follow the mysterious weathered path
PAGE | 87 | false | -- | hear footsteps, so you run into a cave marked "monster library"
EDGE | 87 | 119 | false | --
PAGE | 119 | false | -- | the footsteps are a huge two-headed monster; it grabs you
EDGE | 119 | 77 | false | --
PAGE | 77 | false | -- | monster starts giving you a tour of the library
EDGE | 77 | 35 | true | make a run for the crypt door you see
PAGE | 35 | false | -- | confronted by Swamp Thing; R.L. Stine lets you restart
EDGE | 35 | 1 | false | --
EDGE | 77 | 134 | true | stay with the monster and hope it eventually helps you get back
PAGE | 134 | true | -5 | the two headed monster forces you to read thousands of books to it
EDGE | 135 | 59 | true | follow the sign labeled "to the crypt"
PAGE | 59 | true | -6 | return to cemetery, see your tombstone.. you've died
EDGE | 102 | 53 | true | go back to sleep and wait until next morning
EDGE | 96 | 85 | true | ignore Nick's instructions and head for the door
PAGE | 85 | true | -2 | you trigger an alarm; the police come to arrest you
EDGE | 100 | 91 | true | decline Nick's invitation
PAGE | 91 | false | -- | you go home, but you're super bored, so you call Nick anyway
EDGE | 91 | 17 | false | --
